35 135         # first data record, number of data records
Structure:	CH3C(O)CH3
Name:	dimethyl ketone, acetone, propanone
Author(Year):	JPL-2006(2006)
Temperature:	298K
Wavelength range:	215-349nm(rec)
Bibliography:

 
S.P. Sander, R.R. Friedl, D.M. Golden, M.J. Kurylo, G.K. Moortgat, H. Keller-Rudek, P.H. Wine, A.R. Ravishankara, C.E. Kolb, M.J. Molina, B.J. Finlayson-Pitts, R.E. Huie, V.L. Orkin, ÒChemical Kinetics and Photochemical Data for Use in Atmospheric Studies. Evaluation Number 15Ò, JPL Publication 06-2, Jet Propulsion Laboratory, Pasadena, 2006.
Comments:

JPL-2006 recommendation:

215-349 nm, absorption cross sections at 298 K of

T. Gierczak, J.B. Burkholder, S. Bauerle, and A.R. Ravishankara, "Photochemisty of acetone under atmospheric conditions," Chem. Phys. 231, 229-244 (1998),

and temperature coefficients for the new cubic fit

?(T, ?) = ?(298 K, ?) (1 + A T + B T2 + C T3)

obtained by personal communication from J.B. Burkholder (May 2005).

These values supercede the parameterization given by

T. Gierczak, J.B. Burkholder, S. Bauerle, and A.R. Ravishankara, "Photochemisty of acetone under atmospheric conditions," Chem. Phys. 231, 229-244 (1998).

The parameterization is only valid over the temperature range of the experimental data, 298 K to 235 K.  Extrapolation outside this temperature range may yield unreliable cross section values.

--------------------------------------------
 ?      103 A      105 B      108 C  
255     5.385    -4.16400     7.989
256     5.261    -4.07500     7.825
257     5.101    -3.96100     7.620
258     4.932    -3.84300     7.410
259     4.802    -3.75600     7.262
260     4.746    -3.72300     7.215
261     4.744    -3.73000     7.239
262     4.734    -3.72900     7.246
263     4.651    -3.67400     7.155
264     4.482    -3.55900     6.956
265     4.271    -3.41600     6.712
266     4.087    -3.29600     6.513
267     3.983    -3.23400     6.420
268     3.969    -3.23500     6.440
269     4.009    -3.27300     6.524
270     4.025    -3.29400     6.577
271     3.935    -3.24000     6.494
272     3.704    -3.08500     6.231
273     3.378    -2.86100     5.845
274     3.061    -2.64500     5.473
275     2.854    -2.50800     5.243
276     2.790    -2.47400     5.201
277     2.816    -2.50500     5.276
278     2.820    -2.518     5.316
279     2.692    -2.433     5.175
280     2.389    -2.222     4.803
281     1.963    -1.922     4.272
282     1.517    -1.612     3.726
283     1.137    -1.350     3.272
284     0.8530   -1.158     2.943
285     0.6518   -1.023     2.714
286     0.4907   -0.9150    2.531
287     0.3190   -0.7992    2.332
288     0.1109   -0.6586    2.092
289    -0.1230   -0.5036    1.833
290    -0.3698   -0.3426    1.568
291    -0.6430   -0.1615    1.265
292    -0.9625    0.05796   0.8847
293    -1.316     0.3055    0.4472
294    -1.650     0.5349    0.04777
295    -1.905     0.6989   -0.2168
296    -2.084     0.7964   -0.3430
297    -2.234     0.8667   -0.4086
298    -2.391     0.9417   -0.4824
299    -2.590     1.055    -0.6387
300    -2.915     1.277    -1.020
301    -3.421     1.649    -1.709
302    -4.008     2.091    -2.543
303    -4.508     2.465    -3.248
304    -4.858     2.715    -3.699
305    -5.120     2.880    -3.959
306    -5.433     3.062    -4.219
307    -6.010     3.429    -4.805
308    -6.986     4.096    -5.954
309    -8.135     4.899    -7.370
310    -8.897     5.415    -8.255
311    -8.923     5.378    -8.097
312    -8.494     5.001    -7.305
313    -8.228     4.754    -6.772
314    -8.445     4.881    -6.959
315    -8.966     5.240    -7.592
316    -9.409     5.528    -8.076
317    -9.584     5.588    -8.085
318    -9.736     5.596    -7.946
319   -10.39      5.958    -8.433
320   -11.80      6.869    -9.933
321   -13.48      7.962   -11.75
322   -14.59      8.600   -12.67
323   -14.98      8.670   -12.47
324   -15.39      8.743   -12.27
325   -16.28      9.187   -12.77
326   -17.09      9.588   -13.21
327   -17.21      9.471   -12.68
328   -16.92      9.048   -11.58
329   -16.66      8.672   -10.62
330   -15.94      7.979    -9.099
331   -13.93      6.340    -5.829
332   -10.93      3.969    -1.214
333    -8.186     1.847     2.840
334    -6.530     0.6289    5.067
335    -5.692     0.1022    5.880
336    -4.656    -0.5382    6.860
337    -2.090    -2.355    10.09
338     3.113    -6.237    17.33
339    11.01    -12.26     28.77
340    20.02    -19.220    42.15
341    27.20    -24.83     53.03
342    29.63    -26.80     56.96
343    25.97    -24.04     51.78
344    16.35    -16.63     37.55
345     3.770    -6.858    18.72
346    -2.414    -1.987     9.304
347     7.880    -9.888    24.53
348    29.52    -26.61     56.78
349    41.03    -35.51     73.95

