27 151          line of first data point, total data points
Structure:	BrONO2
Name:	bromine nitrate
Author(Year):	JPL-2006(2006)
Temperature:	298K
Wavelength range:	200-500nm(rec)
Bibliography:


S.P. Sander, R.R. Friedl, D.M. Golden, M.J. Kurylo, G.K. Moortgat, H. Keller-Rudek, P.H. Wine, A.R. Ravishankara, C.E. Kolb, M.J. Molina, B.J. Finlayson-Pitts, R.E. Huie, V.L. Orkin, “Chemical Kinetics and Photochemical Data for Use in Atmospheric Studies. Evaluation Number 15“, JPL Publication 06-2, Jet Propulsion Laboratory, Pasadena, 2006.
Comments:

JPL-2006 recommendation:

200-500 nm, data of

J.B. Burkholder, A.R. Ravishankara, and S Solomon, "UV/visible and IR absorption cross sections of BrONO2," J. Geophys. Res. 100, 16793-16800 (1995), and

temperature coefficients for the parameterization of the temperature dependence 220-296 K

 xs(T) = xs(296) [1 + A1 (T-296) + A2 (T-296)^2]:

        A1         A2

(nm)   (K-1)       (K-2)
366    1.13e-3    5.16e-6
368    1.18e-3    5.87e-6
370    1.24e-3    6.63e-6
372    1.29e-3    6.93e-6
374    1.35e-3    7.25e-6
376    1.44e-3    7.74e-6
378    1.54e-3    8.41e-6
380    1.66e-3    9.15e-6
382    1.60e-3    8.15e-6
384    1.54e-3    7.04e-6
386    1.62e-3    7.02e-6
388    1.85e-3    8.28e-6
390    2.11e-3    9.67e-6
392    2.16e-3    9.74e-6
394    2.22e-3    9.83e-6
396    2.21e-3    9.05e-6
398    2.10e-3    7.28e-6
400    1.98e-3    5.34e-6
402    1.95e-3    4.53e-6
404    1.91e-3    3.64e-6
406    1.86e-3    2.63e-6
408    1.78e-3    1.52e-6
410    1.70e-3    3.16e-7
412    1.59e-3   -9.81e-7
414    1.49e-3   -2.37e-6
416    1.40e-3   -2.60e-6
418    1.35e-3   -1.54e-6
420    1.29e-3   -3.81e-7
422    1.00e-3   -2.34e-6
424    6.94e-4   -4.43e-6
426    5.99e-4   -4.31e-6
428    7.34e-4   -1.78e-6
430    8.77e-4    8.80e-7
432    7.47e-4    4.84e-7
434    6.09e-4    6.25e-8
436    5.19e-4    9.68e-8
438    4.84e-4    6.32e-7
440    4.47e-4    1.20e-6
442    3.84e-4   -3.88e-7
444    3.18e-4   -2.06e-6
446    3.35e-4   -1.82e-6
448    4.46e-4    5.68e-7
450    5.67e-4    3.18e-6
452    7.39e-4    4.40e-6
454    9.26e-4    5.74e-6
456    1.09e-3    6.94e-6
458    1.23e-3    8.00e-6
460    1.39e-3    9.16e-6
462    1.32e-3    5.99e-6
464    1.24e-3    2.46e-6
466    1.39e-3    1.87e-6
468    1.83e-3    4.74e-6
470    2.32e-3    7.95e-6
472    2.72e-3    1.09e-5
474    3.18e-3    1.44e-5
476    3.75e-3    1.79e-5
478    4.45e-3    2.14e-5
480    5.24e-3    2.54e-5
482    5.92e-3    3.66e-5
484    6.80e-3    5.12e-5
486    7.91e-3    6.12e-5
488    9.11e-3    6.31e-5
490    1.0e-2     6.52e-5
492    1.2e-2     7.06e-5
494    1.3e-2     7.65e-5
496    1.5e-2     8.50e-5
498    1.6e-2     9.86e-5
500    1.8e-2     1.19e-4

